Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,0.1uF,C1591
D1,0805,1,LED,C19171391
"H1, H2",MountingHole_2.2mm_M2_Pad_Via,2,MountingHole_Pad,
J2,PinHeader_2x10_P2.54mm_Vertical,1,Conn_02x10_Odd_Even,C492427
P1,HDR-TH_2P-P2.54-V-M,1,PZ254V-11-02P,C492401
PROTO1,,1,integrated 10x14 protoboard grid,
R1,0603,1,402,C2930100
"R2, R3, R4",0603,3,4K7,C105428
U1,TSSOP-8_L4.4-W3.0-P0.65-LS6.4-BL,1,ZD24C64A-XGMT,C2875852
U2,CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,1,SM04B-SRSS-TB_(LF)(SN),C160404
