Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",149.260000,-85.700000,0.000000,top
"D1","LED","LED_0805_2012Metric",118.190000,-85.400000,0.000000,top
"J2","Conn_02x10_Odd_Even","PinHeader_2x10_P2.54mm_Vertical",124.230000,-111.410000,180.000000,top
"P1","PZ254V-11-02P","HDR-TH_2P-P2.54-V-M",151.160000,-96.890000,0.000000,top
"PROTO1","integrated 10x14 protoboard grid","",0.000000,0.000000,0.000000,top
"R1","402","R_0603_1608Metric",118.250000,-83.220000,180.000000,top
"R2","4K7","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",151.540000,-90.850000,-90.000000,top
"R3","4K7","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",147.000000,-96.840000,-90.000000,top
"R4","4K7","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",153.230000,-90.860000,-90.000000,top
"U1","ZD24C64A-XGMT","TSSOP-8_L4.4-W3.0-P0.65-LS6.4-BL",148.850000,-91.030000,0.000000,top
"U2","SM04B-SRSS-TB_(LF)(SN)","CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN",151.057503,-103.540000,90.000000,top
